Date,Open,High,Low,Close,Adj Close,Volume
2017-10-17,190.509995,190.809998,186.639999,188.770004,185.832626,1893900
2017-10-18,189.000000,189.550003,187.699997,189.220001,186.275620,1372500
2017-10-19,189.639999,192.449997,189.270004,192.440002,189.445511,1691700
2017-10-20,193.169998,194.429993,192.839996,193.860001,190.843445,1258500
2017-10-23,194.679993,195.919998,194.050003,194.369995,191.345459,1313400
2017-10-24,194.580002,195.350006,193.190002,194.380005,191.355362,2176900
2017-10-25,198.380005,200.990005,196.990005,199.669998,196.563049,2120000
2017-10-26,199.720001,201.199997,197.669998,200.369995,197.252136,2942500
2017-10-27,200.000000,201.059998,191.240005,192.419998,189.425797,3777100
2017-10-30,191.710007,192.869995,190.309998,192.020004,189.032074,1741800
2017-10-31,192.059998,195.500000,191.800003,193.830002,190.813889,1543000
2017-11-01,195.139999,195.309998,193.220001,194.190002,191.168259,1056600
2017-11-02,193.979996,194.229996,191.009995,191.279999,188.303574,1797700
2017-11-03,191.630005,194.509995,191.350006,193.710007,190.695755,816200
2017-11-06,194.020004,194.539993,192.889999,193.529999,190.518570,1066000
2017-11-07,193.500000,194.070007,192.729996,193.210007,190.203506,796600
2017-11-08,192.710007,194.179993,192.710007,193.860001,190.843445,981900
2017-11-09,193.419998,193.960007,190.199997,191.889999,188.904068,1052400
2017-11-10,191.669998,191.910004,184.500000,186.179993,183.282913,3009200
2017-11-13,185.529999,188.809998,185.250000,188.210007,185.281342,1786900
2017-11-14,187.809998,190.229996,187.369995,189.080002,186.137848,1421300
2017-11-15,189.119995,189.880005,187.910004,188.509995,185.576675,1090800
2017-11-16,189.050003,190.990005,189.020004,190.610001,187.643951,982800
2017-11-17,189.550003,191.580002,189.550003,190.169998,187.210831,1151900
2017-11-20,189.960007,191.899994,189.839996,191.000000,188.027908,1373800
2017-11-21,191.350006,193.039993,190.279999,192.929993,189.927856,1757100
2017-11-22,193.000000,193.240005,192.169998,192.750000,189.750687,1005500
2017-11-24,193.000000,193.759995,192.300003,193.509995,190.498825,374500
2017-11-27,193.020004,193.940002,192.360001,193.919998,190.902466,1731600
